Eid,Python,Machine Learning,Deep Learning,Data Analysis,Asp.Net,Ado.Net,VB.Net,C#,Java,Spring Boot,Hibernate,NLP,CV,JS,React,Node,Angular,Dart,Flutter,Vb.Net,Ename,Experience,Total_projects,Rating,Area_of_Interest_1,Area_of_Interest_2,Area_of_Interest_3,Language1,Language2,Language3,AI_project_count,ML_project_count,JS_project_count,Java_project_count,DotNet_project_count,Mobile_project_count
141,1,0,0,0,0,0,0,1,4,4,4,2,2,3,3,3,3,1,1,0,Clyde Young,8,11,1.375,Java,JS,AI,English,Tamil,Japenese,2,0,3,5,0,1
142,1,1,1,1,4,4,0,4,2,2,2,1,1,1,1,1,1,3,3,4,Brian Vaughan,20,28,1.4,DotNet,Mobile,Java,English,Chinese,Kannada,4,3,3,7,5,6
143,1,1,1,1,4,4,0,4,1,1,1,1,1,3,3,3,3,2,2,4,Donna Morgia,18,29,1.6111111111111112,DotNet,JS,Mobile,English,Kannada,Japenese,4,5,6,5,6,3
144,1,1,1,1,1,1,0,1,3,3,3,2,2,1,1,1,1,4,4,1,Louise Woody,22,16,0.7272727272727273,Mobile,Java,AI,English,Japenese,Malayalam,5,2,1,2,4,2
145,3,3,3,3,1,1,0,1,1,0,0,4,4,1,0,0,0,2,2,1,Rose Kelly,6,5,0.8333333333333334,AI,ML,Mobile,English,Kannada,Telugu,1,1,0,0,2,1
146,1,1,1,1,1,1,0,1,1,0,0,3,3,2,2,2,2,4,4,1,Lucy Montoya,11,12,1.0909090909090908,Mobile,AI,JS,English,Kannada,Telugu,2,2,3,0,3,2
147,4,4,4,4,0,0,0,1,1,1,1,3,3,1,1,1,1,1,1,0,Heather Martinez,3,5,1.6666666666666667,ML,AI,Mobile,English,Malayalam,Chinese,1,1,2,1,0,0
148,1,1,1,1,1,1,0,1,1,1,1,0,0,3,3,3,3,0,0,1,Estelle Lamm,3,3,1.0,Java,JS,DotNet,English,Kannada,Telugu,0,1,2,0,0,0
149,1,0,0,0,1,1,0,1,3,3,3,2,2,1,0,0,0,1,1,1,William Champion,5,4,0.8,Mobile,Java,AI,English,Tamil,Hindi,1,0,0,1,2,0
150,1,1,1,1,1,1,0,1,3,3,3,1,1,2,2,2,2,4,4,1,Theron Degennaro,21,28,1.3333333333333333,Mobile,Java,JS,English,Kannada,Chinese,1,6,3,8,2,8
151,2,2,2,2,1,1,0,1,1,1,1,1,1,3,3,3,3,4,4,1,Jeff Applebee,17,25,1.4705882352941178,Mobile,JS,ML,English,Tamil,Hindi,5,3,3,4,7,3
152,1,1,1,1,3,3,0,3,4,4,4,0,0,1,1,1,1,2,2,3,Cecilia Dale,23,22,0.9565217391304348,Java,DotNet,Mobile,English,Telugu,Malayalam,0,3,6,6,4,3
153,1,1,1,1,1,1,0,1,3,3,3,1,1,2,2,2,2,4,4,1,John Ervin,24,27,1.125,Mobile,Java,JS,English,Japenese,Hindi,3,5,5,3,5,6
154,3,3,3,3,2,2,0,2,4,4,4,1,1,1,1,1,1,0,0,2,Earl Wood,9,11,1.2222222222222223,Java,ML,DotNet,English,Chinese,Malayalam,1,1,2,2,5,0
155,1,1,1,1,2,2,0,2,4,4,4,3,3,1,0,0,0,1,1,2,Jeromy Muriel,7,5,0.7142857142857143,Java,AI,DotNet,English,Kannada,Hindi,1,1,0,1,1,1
156,1,0,0,0,0,0,0,1,1,1,1,3,3,2,2,2,2,4,4,0,Beryl Rogers,3,5,1.6666666666666667,Mobile,AI,JS,English,Japenese,Chinese,2,0,1,1,0,1
157,2,2,2,2,4,4,0,4,1,0,0,3,3,1,0,0,0,1,1,4,Hope Hicks,5,7,1.4,DotNet,AI,ML,English,Kannada,Malayalam,1,4,0,0,1,1
158,1,1,1,1,2,2,0,2,1,1,1,1,1,4,4,4,4,3,3,2,Cora Jones,23,18,0.782608695652174,JS,Mobile,DotNet,English,Tamil,Malayalam,4,3,1,5,2,3
159,3,3,3,3,0,0,0,1,4,4,4,2,2,1,1,1,1,1,1,0,Reuben Sparks,15,8,0.5333333333333333,Java,ML,AI,English,Malayalam,Tamil,2,1,2,2,0,1
160,3,3,3,3,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1,Stacia Aita,16,23,1.4375,Mobile,ML,AI,English,Japenese,Tamil,6,6,5,2,4,0
161,1,1,1,1,2,2,0,2,1,1,1,1,1,1,1,1,1,4,4,2,Yolanda Kramer,15,17,1.1333333333333333,Mobile,Java,DotNet,English,Chinese,Kannada,5,6,1,0,3,2
162,3,3,3,3,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1,Tracy Houston,5,6,1.2,JS,ML,AI,English,Hindi,Chinese,2,1,0,1,1,1
163,2,2,2,2,1,1,0,1,1,1,1,4,4,1,1,1,1,3,3,1,David Berry,13,16,1.2307692307692308,AI,Mobile,ML,English,Tamil,Malayalam,2,3,3,2,5,1
164,1,1,1,1,1,1,0,1,3,3,3,0,0,4,4,4,4,1,1,1,Willis Ingram,4,9,2.25,JS,Java,ML,English,Hindi,Japenese,0,0,3,4,1,1
165,1,1,1,1,2,2,0,2,4,4,4,3,3,1,1,1,1,1,1,2,Justin Scott,6,19,3.1666666666666665,Java,AI,DotNet,English,Telugu,Japenese,4,4,2,3,2,4
166,1,1,1,1,1,1,0,1,3,3,3,0,0,2,2,2,2,1,1,1,Wade Gass,3,5,1.6666666666666667,ML,Java,JS,English,Kannada,Chinese,0,0,1,1,2,1
167,1,1,1,1,1,1,0,1,3,3,3,4,4,2,2,2,2,1,1,1,Bobby Fields,11,13,1.181818181818182,AI,Java,JS,English,Tamil,Telugu,4,1,1,2,1,4
168,3,3,3,3,1,1,0,1,4,4,4,2,2,1,1,1,1,1,1,1,Jacob Crouch,13,16,1.2307692307692308,Java,ML,AI,English,Hindi,Chinese,1,4,3,2,4,2
169,2,2,2,2,1,1,0,1,1,1,1,4,4,1,1,1,1,1,1,1,Daniel Arvizu,19,26,1.368421052631579,AI,Mobile,ML,English,Chinese,Tamil,5,3,6,8,4,0
170,1,1,1,1,2,2,0,2,1,1,1,3,3,1,1,1,1,1,1,2,Scott Brown,20,15,0.75,Mobile,AI,DotNet,English,Japenese,Chinese,2,4,1,7,1,0
171,3,3,3,3,1,1,0,1,4,4,4,1,1,2,2,2,2,1,1,1,Donna Goddard,8,19,2.375,Java,ML,JS,English,Tamil,Malayalam,4,3,2,1,6,3
172,1,1,1,1,3,3,0,3,1,1,1,1,1,2,2,2,2,1,1,3,Larry Jensen,23,28,1.2173913043478262,Mobile,DotNet,JS,English,Tamil,Telugu,2,7,8,7,4,0
173,2,2,2,2,0,0,0,1,1,1,1,4,4,1,1,1,1,0,0,0,Susan Carrillo,5,4,0.8,AI,JS,ML,English,Tamil,Kannada,1,1,0,2,0,0
174,2,2,2,2,4,4,0,4,1,1,1,3,3,1,1,1,1,1,1,4,Edward Gonzalez,6,9,1.5,DotNet,AI,ML,English,Chinese,Malayalam,2,1,1,2,2,1
175,1,0,0,0,2,2,0,2,1,1,1,1,1,3,3,3,3,4,4,2,Carmen Brock,23,20,0.8695652173913043,Mobile,JS,DotNet,English,Malayalam,Telugu,6,0,5,3,4,2
176,1,1,1,1,0,0,0,1,1,1,1,1,1,4,4,4,4,1,1,0,Dan Christian,4,4,1.0,JS,Mobile,Java,English,Hindi,Kannada,1,1,2,0,0,0
177,2,2,2,2,1,1,0,1,4,4,4,3,3,1,1,1,1,1,1,1,Raymond Volesky,15,19,1.2666666666666666,Java,AI,ML,English,Tamil,Telugu,1,8,3,3,2,2
178,2,2,2,2,0,0,0,1,1,1,1,3,3,1,0,0,0,1,1,0,Freda Vega,14,7,0.5,Java,AI,ML,English,Tamil,Chinese,4,2,0,0,0,1
179,3,3,3,3,4,4,0,4,1,1,1,1,1,1,0,0,0,1,1,4,Benny Mendoza,11,7,0.6363636363636364,DotNet,ML,Mobile,English,Hindi,Telugu,3,2,0,1,1,0
180,1,1,1,1,3,3,0,3,1,1,1,0,0,4,4,4,4,2,2,3,Marilyn Dec,6,17,2.833333333333333,JS,DotNet,Mobile,English,Kannada,Chinese,0,3,4,4,5,1
181,1,1,1,1,1,1,0,1,2,2,2,3,3,4,4,4,4,1,1,1,Christina Cable,8,14,1.75,JS,AI,Java,English,Malayalam,Chinese,3,3,2,2,3,1
182,2,2,2,2,3,3,0,3,1,1,1,4,4,1,1,1,1,0,0,3,Rita Sackett,4,7,1.75,AI,DotNet,ML,English,Telugu,Tamil,2,2,1,1,1,0
183,4,4,4,4,1,1,0,1,1,1,1,3,3,2,2,2,2,0,0,1,Mary Martins,19,16,0.8421052631578947,ML,AI,JS,English,Hindi,Tamil,3,2,3,5,3,0
184,4,4,4,4,1,1,0,1,1,1,1,3,3,2,2,2,2,1,1,1,Natasha Wagner,11,19,1.7272727272727273,ML,AI,JS,English,Tamil,Telugu,6,3,1,2,2,5
185,1,1,1,1,1,1,0,1,4,4,4,1,1,1,1,1,1,1,1,1,Thomas Torres,7,10,1.4285714285714286,Java,Mobile,ML,English,Malayalam,Kannada,3,0,2,2,3,0
186,1,1,1,1,2,2,0,2,1,1,1,3,3,4,4,4,4,1,1,2,Larry Jopling,21,18,0.8571428571428571,JS,AI,DotNet,English,Chinese,Telugu,7,4,1,1,2,3
187,2,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,Mable Billiot,4,9,2.25,DotNet,AI,ML,English,Malayalam,Tamil,0,1,6,2,0,0
188,4,4,4,4,1,1,0,1,1,1,1,1,1,2,2,2,2,3,3,1,James Williams,8,17,2.125,ML,Mobile,JS,English,Japenese,Telugu,3,1,3,4,3,3
189,1,1,1,1,4,4,0,4,1,1,1,1,1,2,2,2,2,3,3,4,Robin West,18,22,1.2222222222222223,DotNet,Mobile,JS,English,Chinese,Hindi,7,4,2,3,4,2
190,3,3,3,3,4,4,0,4,1,1,1,2,2,1,1,1,1,1,1,4,Amy Meyer,16,24,1.5,DotNet,ML,AI,English,Tamil,Malayalam,6,5,3,3,5,2
191,1,1,1,1,3,3,0,3,1,1,1,2,2,4,4,4,4,1,1,3,Sam Sanchez,13,16,1.2307692307692308,JS,DotNet,AI,English,Telugu,Tamil,2,2,2,3,4,3
192,1,1,1,1,3,3,0,3,4,4,4,1,1,1,1,1,1,2,2,3,Melissa Hernandez,17,18,1.0588235294117647,Java,DotNet,Mobile,English,Tamil,Japenese,5,3,2,2,2,4
193,2,2,2,2,3,3,0,3,4,4,4,1,1,1,1,1,1,1,1,3,Jessica Montgomery,22,23,1.0454545454545454,Java,DotNet,ML,English,Telugu,Kannada,5,2,3,4,5,4
194,1,1,1,1,4,4,0,4,3,3,3,1,1,1,0,0,0,1,1,4,Latanya Brooks,7,12,1.7142857142857142,DotNet,Java,ML,English,Kannada,Hindi,5,0,0,3,3,1
195,1,1,1,1,3,3,0,3,2,2,2,1,1,4,4,4,4,1,1,3,Latonya Bradley,18,29,1.6111111111111112,JS,DotNet,Java,English,Kannada,Chinese,3,2,3,8,7,6
196,3,3,3,3,0,0,0,1,1,0,0,2,2,1,1,1,1,4,4,0,Johnny Garcia,15,7,0.4666666666666667,Mobile,ML,AI,English,Telugu,Japenese,1,1,4,0,0,1
197,1,1,1,1,3,3,0,3,1,1,1,4,4,2,2,2,2,1,1,3,Gale Newell,13,17,1.3076923076923077,AI,DotNet,JS,English,Tamil,Kannada,5,3,2,4,1,2
198,3,3,3,3,1,1,0,1,1,0,0,4,4,1,0,0,0,1,1,1,Ashley Lindsay,3,7,2.333333333333333,AI,ML,Mobile,English,Telugu,Kannada,3,3,0,0,1,0
199,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,2,1,1,1,Jeffery Delisio,13,13,1.0,Java,ML,JS,English,Telugu,Chinese,6,0,2,0,3,2
200,1,1,1,1,1,1,0,1,1,1,1,2,2,4,4,4,4,1,1,1,Linda Sharp,5,8,1.6,JS,DotNet,AI,English,Telugu,Japenese,1,2,2,1,0,2
201,2,2,2,2,1,1,0,1,3,3,3,1,1,1,1,1,1,4,4,1,Christopher Ross,17,26,1.5294117647058822,Mobile,Java,ML,English,Hindi,Malayalam,2,9,3,1,5,6
202,1,1,1,1,2,2,0,2,3,3,3,1,1,1,1,1,1,4,4,2,Laura Canon,18,23,1.2777777777777777,Mobile,Java,DotNet,English,Hindi,Malayalam,2,7,3,1,5,5
203,1,1,1,1,4,4,0,4,3,3,3,2,2,1,0,0,0,1,1,4,Sharyn Brown,13,9,0.6923076923076923,DotNet,Java,AI,English,Chinese,Hindi,3,1,0,2,2,1
204,1,1,1,1,2,2,0,2,4,4,4,3,3,1,1,1,1,1,1,2,Antonio Steffan,7,17,2.4285714285714284,Java,AI,DotNet,English,Telugu,Kannada,4,3,4,2,2,2
205,3,3,3,3,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,Kathryn Shultz,3,5,1.6666666666666667,Mobile,ML,AI,English,Chinese,Kannada,0,2,0,2,1,0
206,4,4,4,4,3,3,0,3,1,1,1,1,1,1,1,1,1,1,1,3,John Short,12,19,1.5833333333333333,ML,DotNet,JS,English,Telugu,Japenese,6,3,0,1,6,3
207,1,1,1,1,4,4,0,4,1,1,1,1,1,1,1,1,1,1,1,4,Danielle Keister,3,9,3.0,DotNet,Mobile,Java,English,Hindi,Tamil,3,2,2,0,2,0
208,4,4,4,4,1,1,0,1,1,1,1,1,1,2,2,2,2,3,3,1,Eric Kouba,2,9,4.5,ML,Mobile,JS,English,Hindi,Telugu,1,1,2,1,1,3
209,1,1,1,1,1,1,0,1,1,1,1,4,4,3,3,3,3,2,2,1,Julia Stanley,20,23,1.15,AI,JS,Mobile,English,Chinese,Malayalam,3,5,4,4,3,4
210,1,1,1,1,1,1,0,1,1,1,1,3,3,2,2,2,2,1,1,1,Basil Welker,14,11,0.7857142857142857,Mobile,AI,JS,English,Kannada,Chinese,1,1,4,3,2,0
211,1,1,1,1,1,1,0,1,2,2,2,3,3,4,4,4,4,0,0,1,Nicholas Rondeau,12,12,1.0,JS,AI,Java,English,Malayalam,Japenese,3,4,1,2,2,0
212,4,4,4,4,2,2,0,2,1,1,1,3,3,1,1,1,1,1,1,2,Andre Hughes,6,16,2.6666666666666665,ML,AI,DotNet,English,Hindi,Chinese,3,1,3,6,1,2
213,1,1,1,1,4,4,0,4,2,2,2,1,1,3,3,3,3,1,1,4,Celeste Cunningham,17,29,1.7058823529411764,DotNet,JS,Java,English,Chinese,Kannada,2,7,6,8,4,2
214,1,1,1,1,1,1,0,1,4,4,4,3,3,2,2,2,2,0,0,1,Christine Lara,5,8,1.6,Java,AI,JS,English,Japenese,Telugu,2,2,1,1,2,0
215,4,4,4,4,2,2,0,2,1,0,0,1,1,1,1,1,1,0,0,2,Lara Stancil,8,5,0.625,ML,AI,DotNet,English,Malayalam,Telugu,0,3,1,0,1,0
216,1,1,1,1,2,2,0,2,3,3,3,4,4,1,1,1,1,0,0,2,Cynthia Contreras,12,14,1.1666666666666667,AI,Java,DotNet,English,Chinese,Tamil,4,2,3,4,1,0
217,1,1,1,1,2,2,0,2,3,3,3,1,1,4,4,4,4,1,1,2,Jovita Golden,22,21,0.9545454545454546,JS,Java,DotNet,English,Tamil,Chinese,6,3,2,7,1,2
218,1,1,1,1,4,4,0,4,2,2,2,1,1,1,1,1,1,1,1,4,Karen Wood,13,8,0.6153846153846154,DotNet,ML,Java,English,Japenese,Malayalam,1,0,3,2,1,1
219,1,1,1,1,1,1,0,1,1,1,1,4,4,2,2,2,2,3,3,1,Tony Yoakum,17,28,1.6470588235294117,AI,Mobile,JS,English,Telugu,Malayalam,3,3,5,4,7,6
220,1,1,1,1,3,3,0,3,2,2,2,4,4,1,1,1,1,1,1,3,Bobby Horner,14,18,1.2857142857142858,AI,DotNet,Java,English,Tamil,Telugu,4,4,1,4,1,4
221,4,4,4,4,1,1,0,1,2,2,2,1,1,3,3,3,3,1,1,1,Christopher Farnam,13,15,1.1538461538461535,ML,JS,Java,English,Kannada,Japenese,3,2,3,2,1,4
222,4,4,4,4,3,3,0,3,1,1,1,1,1,2,2,2,2,1,1,3,Tonya Nelson,21,28,1.3333333333333333,ML,DotNet,JS,English,Kannada,Japenese,10,6,5,4,1,2
223,1,1,1,1,2,2,0,2,1,0,0,1,1,3,3,3,3,4,4,2,Rita Ohmen,23,20,0.8695652173913043,Mobile,JS,DotNet,English,Tamil,Hindi,3,2,2,0,8,5
224,1,0,0,0,3,3,0,3,1,0,0,1,1,1,1,1,1,4,4,3,Jerry Brown,8,6,0.75,Mobile,DotNet,JS,English,Chinese,Hindi,2,0,0,0,1,3
225,3,3,3,3,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1,Mary Jones,18,23,1.2777777777777777,JS,ML,AI,English,Tamil,Japenese,2,5,0,6,4,6
226,4,4,4,4,1,1,0,1,1,1,1,1,1,3,3,3,3,2,2,1,Ileana Adams,23,17,0.7391304347826086,ML,JS,Mobile,English,Chinese,Japenese,3,3,4,3,3,1
227,1,1,1,1,3,3,0,3,4,4,4,2,2,1,1,1,1,1,1,3,Sandra Byrd,19,25,1.3157894736842106,Java,DotNet,AI,English,Kannada,Malayalam,5,5,5,5,3,2
228,2,2,2,2,4,4,0,4,3,3,3,1,1,1,1,1,1,1,1,4,Tanya Bishop,8,11,1.375,DotNet,Java,ML,English,Kannada,Japenese,2,2,2,3,1,1
229,2,2,2,2,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,Karen Ramsey,5,4,0.8,Mobile,JS,ML,English,Kannada,Tamil,0,2,0,2,0,0
230,1,1,1,1,2,2,0,2,1,1,1,1,1,1,1,1,1,3,3,2,Daniel Somers,20,22,1.1,ML,Mobile,DotNet,English,Telugu,Kannada,2,0,7,9,3,1
231,1,1,1,1,1,1,0,1,2,2,2,1,1,3,3,3,3,4,4,1,Melissa Ramirez,13,17,1.3076923076923077,Mobile,JS,Java,English,Japenese,Tamil,4,2,3,3,3,2
232,3,3,3,3,1,1,0,1,4,4,4,1,1,2,2,2,2,1,1,1,Robert Conover,24,24,1.0,Java,ML,JS,English,Hindi,Malayalam,6,4,3,4,3,4
233,4,4,4,4,1,1,0,1,2,2,2,1,1,1,1,1,1,3,3,1,Earle Nehring,10,17,1.7,ML,Mobile,Java,English,Kannada,Japenese,2,2,2,5,3,3
234,1,1,1,1,2,2,0,2,1,1,1,3,3,4,4,4,4,0,0,2,Margaret Wilhelm,24,29,1.2083333333333333,JS,AI,DotNet,English,Chinese,Hindi,3,6,9,5,6,0
235,1,1,1,1,1,1,0,1,4,4,4,1,1,1,1,1,1,1,1,1,Paul Kennon,5,5,1.0,Java,Mobile,AI,English,Tamil,Malayalam,0,1,1,1,2,0
236,2,2,2,2,1,1,0,1,3,3,3,1,1,1,1,1,1,1,1,1,Sharon Evans,8,17,2.125,Mobile,Java,ML,English,Hindi,Japenese,6,1,2,3,5,0
237,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,Gregory Pickett,5,3,0.6,DotNet,Mobile,AI,English,Telugu,Japenese,0,1,2,0,0,0
238,1,1,1,1,2,2,0,2,4,4,4,1,1,1,1,1,1,3,3,2,Kay Thomas,20,24,1.2,Java,Mobile,DotNet,English,Telugu,Malayalam,2,6,4,4,3,5
239,4,4,4,4,1,1,0,1,1,1,1,3,3,1,1,1,1,2,2,1,Gwendolyn Barrow,17,28,1.6470588235294117,ML,AI,Mobile,English,Japenese,Tamil,4,6,4,4,6,4
240,1,1,1,1,4,4,0,4,1,1,1,2,2,1,1,1,1,3,3,4,Ronald Smith,19,21,1.105263157894737,DotNet,Mobile,AI,English,Hindi,Tamil,4,3,5,3,4,2
241,3,3,3,3,4,4,0,4,1,1,1,2,2,1,1,1,1,1,1,4,Robert Kelsey,23,25,1.0869565217391304,DotNet,ML,AI,English,Chinese,Malayalam,4,3,2,7,6,3
242,1,1,1,1,1,1,0,1,1,1,1,1,1,3,3,3,3,4,4,1,Anthony Mooney,12,14,1.1666666666666667,Mobile,JS,Java,English,Chinese,Tamil,4,4,1,0,1,4
243,2,2,2,2,1,1,0,1,1,1,1,4,4,1,1,1,1,3,3,1,Dixie Medina,21,20,0.9523809523809524,AI,Mobile,ML,English,Japenese,Tamil,5,6,3,1,2,3
244,1,1,1,1,1,1,0,1,3,3,3,1,1,2,2,2,2,4,4,1,Beth Ebert,11,8,0.7272727272727273,Mobile,Java,JS,English,Malayalam,Tamil,2,1,1,1,1,2
245,3,3,3,3,2,2,0,2,4,4,4,1,1,1,1,1,1,1,1,2,George Thomas,21,17,0.8095238095238095,Java,ML,DotNet,English,Malayalam,Kannada,4,3,1,2,2,5
246,4,4,4,4,1,1,0,1,2,2,2,3,3,1,1,1,1,1,1,1,Joseph Gunderson,21,25,1.1904761904761905,ML,AI,Java,English,Chinese,Japenese,3,5,4,4,8,1
247,3,3,3,3,0,0,0,1,1,1,1,4,4,1,0,0,0,2,2,0,John Davis,3,7,2.333333333333333,AI,ML,Mobile,English,Kannada,Telugu,3,2,0,1,0,1
248,1,1,1,1,1,1,0,1,1,1,1,3,3,1,1,1,1,1,1,1,Paul Gray,9,7,0.7777777777777778,JS,AI,DotNet,English,Hindi,Telugu,3,2,0,1,0,1
249,1,1,1,1,1,1,0,1,1,1,1,4,4,2,2,2,2,1,1,1,Susan Brown,23,15,0.6521739130434783,AI,DotNet,JS,English,Malayalam,Telugu,3,2,3,5,0,2
250,4,4,4,4,2,2,0,2,1,1,1,1,1,1,0,0,0,3,3,2,Charles Merriweather,14,12,0.8571428571428571,ML,Mobile,DotNet,English,Malayalam,Chinese,5,1,0,4,1,1
251,4,4,4,4,1,1,0,1,1,1,1,1,1,3,3,3,3,2,2,1,Joan Swenson,19,29,1.5263157894736843,ML,JS,Mobile,English,Hindi,Telugu,6,1,10,3,8,1
252,3,3,3,3,2,2,0,2,1,1,1,1,1,1,1,1,1,4,4,2,Robert Vallejo,18,27,1.5,Mobile,ML,DotNet,English,Chinese,Kannada,6,4,4,5,3,5
253,1,1,1,1,1,1,0,1,3,3,3,1,1,2,2,2,2,1,1,1,Oliver Lark,11,7,0.6363636363636364,Mobile,Java,JS,English,Hindi,Telugu,2,1,1,1,2,0
254,2,2,2,2,4,4,0,4,3,3,3,1,1,1,1,1,1,1,1,4,Maurice Anderson,24,29,1.2083333333333333,DotNet,Java,ML,English,Malayalam,Telugu,6,5,7,2,4,5
255,4,4,4,4,3,3,0,3,1,1,1,0,0,1,1,1,1,2,2,3,Charles Bravo,11,10,0.9090909090909092,ML,DotNet,Mobile,English,Japenese,Hindi,0,2,2,2,2,2
256,1,0,0,0,4,4,0,4,2,2,2,1,1,1,1,1,1,1,1,4,Rachel Hunsberger,5,7,1.4,DotNet,JS,Java,English,Chinese,Hindi,2,0,0,1,2,2
257,1,1,1,1,1,1,0,1,1,1,1,1,1,3,3,3,3,1,1,1,Rita Sawyer,8,9,1.125,DotNet,JS,Mobile,English,Chinese,Malayalam,2,3,2,2,0,0
258,3,3,3,3,4,4,0,4,1,1,1,1,1,2,2,2,2,1,1,4,Ruby Bunch,23,26,1.1304347826086956,DotNet,ML,JS,English,Kannada,Malayalam,9,6,5,2,3,1
259,3,3,3,3,2,2,0,2,1,1,1,4,4,1,0,0,0,1,1,2,Gladys Sloan,7,13,1.8571428571428568,AI,ML,DotNet,English,Telugu,Chinese,1,3,0,3,4,2
260,3,3,3,3,1,1,0,1,1,1,1,1,1,4,4,4,4,2,2,1,Leon Redd,8,12,1.5,JS,ML,Mobile,English,Hindi,Telugu,2,3,4,1,1,1
261,2,2,2,2,1,1,0,1,1,1,1,4,4,1,1,1,1,1,1,1,Harvey Mclain,10,10,1.0,AI,Mobile,ML,English,Tamil,Kannada,2,2,1,3,2,0
262,1,1,1,1,1,1,0,1,1,1,1,4,4,3,3,3,3,2,2,1,Brittany Cody,9,13,1.4444444444444444,AI,JS,Mobile,English,Hindi,Telugu,1,5,2,1,1,3
263,1,1,1,1,4,4,0,4,1,1,1,3,3,2,2,2,2,1,1,4,Philip Capozzoli,8,18,2.25,DotNet,AI,JS,English,Tamil,Malayalam,7,2,1,4,2,2
264,2,2,2,2,1,1,0,1,1,1,1,4,4,1,1,1,1,3,3,1,Janice Foster,16,20,1.25,AI,Mobile,ML,English,Tamil,Telugu,4,7,4,2,1,2
265,1,1,1,1,1,1,0,1,3,3,3,2,2,1,1,1,1,4,4,1,Robert Clodfelter,24,20,0.8333333333333334,Mobile,Java,AI,English,Japenese,Malayalam,4,3,3,5,3,2
266,4,4,4,4,1,1,0,1,1,1,1,1,1,2,2,2,2,3,3,1,Jerry Unruh,18,25,1.3888888888888888,ML,Mobile,JS,English,Chinese,Tamil,5,3,5,3,6,3
267,4,4,4,4,3,3,0,3,1,1,1,1,1,1,1,1,1,1,1,3,Charles Hajek,9,9,1.0,ML,DotNet,JS,English,Japenese,Malayalam,2,1,0,3,2,1
268,4,4,4,4,1,1,0,1,1,1,1,2,2,3,3,3,3,1,1,1,Larry Reifsteck,24,25,1.0416666666666667,ML,JS,AI,English,Telugu,Japenese,8,5,4,4,2,2
269,1,1,1,1,4,4,0,4,1,1,1,1,1,3,3,3,3,2,2,4,Sue Cox,21,23,1.0952380952380951,DotNet,JS,Mobile,English,Telugu,Kannada,9,3,4,1,5,1
270,1,1,1,1,4,4,0,4,1,1,1,1,1,1,0,0,0,0,0,4,Barbara Wollschlager,5,4,0.8,DotNet,AI,Java,English,Telugu,Tamil,0,3,0,0,1,0
271,1,1,1,1,4,4,0,4,2,2,2,3,3,1,1,1,1,1,1,4,Kent Travis,19,19,1.0,DotNet,AI,Java,English,Japenese,Telugu,3,4,3,3,3,3
272,1,1,1,1,4,4,0,4,1,1,1,0,0,3,3,3,3,0,0,4,Gerald Craft,3,5,1.6666666666666667,DotNet,JS,ML,English,Japenese,Kannada,0,0,3,1,1,0
273,1,1,1,1,4,4,0,4,2,2,2,1,1,3,3,3,3,1,1,4,Jackie Menges,18,29,1.6111111111111112,DotNet,JS,Java,English,Hindi,Chinese,9,1,8,2,6,3
274,1,1,1,1,3,3,0,3,1,1,1,2,2,1,1,1,1,1,1,3,Michael Kruse,7,15,2.142857142857143,Mobile,DotNet,AI,English,Chinese,Japenese,1,7,3,2,2,0
275,1,0,0,0,4,4,0,4,1,1,1,1,1,1,1,1,1,1,1,4,Perry Nelson,3,5,1.6666666666666667,DotNet,Mobile,Java,English,Malayalam,Kannada,2,0,2,0,1,0
276,3,3,3,3,4,4,0,4,1,1,1,1,1,1,1,1,1,2,2,4,Ellie Demaio,6,11,1.8333333333333333,DotNet,ML,Mobile,English,Tamil,Malayalam,3,3,1,2,1,1
277,1,1,1,1,1,1,0,1,3,3,3,4,4,1,1,1,1,2,2,1,Karen Leonard,15,16,1.0666666666666669,AI,Java,Mobile,English,Kannada,Tamil,3,4,2,3,2,2
278,4,4,4,4,1,1,0,1,2,2,2,1,1,1,0,0,0,3,3,1,Edith Pacheco,9,11,1.2222222222222223,ML,Mobile,Java,English,Malayalam,Kannada,3,3,0,2,1,2
279,4,4,4,4,1,1,0,1,3,3,3,2,2,1,1,1,1,1,1,1,Miguel Thrasher,14,10,0.7142857142857143,ML,Java,AI,English,Kannada,Hindi,2,2,1,1,2,2
280,1,1,1,1,3,3,0,3,1,1,1,4,4,1,0,0,0,1,1,3,Catherine Scheller,11,7,0.6363636363636364,AI,DotNet,Java,English,Kannada,Japenese,3,1,0,0,2,1
281,1,1,1,1,1,1,0,1,4,4,4,3,3,1,0,0,0,2,2,1,Barbara Wing,9,6,0.6666666666666666,Java,AI,Mobile,English,Telugu,Japenese,2,1,0,1,1,1
282,2,2,2,2,1,1,0,1,4,4,4,1,1,1,1,1,1,3,3,1,Arturo Hemphill,18,26,1.4444444444444444,Java,Mobile,ML,English,Tamil,Chinese,3,4,8,3,4,4
